Algo,data_points,accuracy,time_taken
sa,100,1,0.2025
abc,100,0.79,0.9116
bee,100,0.5,71.4607
bats,100,0.5,21.926
ff,100,0.5,1218.9624
hn,100,1,71.502
hw,100,1,71.502
sa,110,0.9909,0.7128
abc,110,0.8909,2.9367
bee,110,0.0909,69.7619
bats,110,0.4545,29.7482
ff,110,0.4545,1947.6376
hn,110,0.9272,69.7619
hw,110,0.9636,69.7619
sa,120,0.975,0.2963
abc,120,0.1416,1.596
bee,120,0.58334,34.893
bats,120,0.41667,18.1894
ff,120,0.41667,970.0685
hn,120,0.975,34.893
hw,120,0.975,34.893
sa,130,0.9846,0.17224
abc,130,0.43076,1.0457
bee,130,0.3846,20.1526
bats,130,0.2307,10.3623
ff,130,0.2307,826.098
hn,130,0.76153,20.1526
hw,130,0.98461,20.1526
sa,140,0.9714,0.68837
abc,140,0.76428,4.01047
bee,140,0.35714,69.895
bats,140,0.35714,36.1984
ff,140,0.35714,3571.5488
hn,140,0.7142,69.895
hw,140,0.7714,69.895
sa,150,0.94667,0.18337
abc,150,0.0667,1.1633
bee,150,0.3,21.8254
bats,150,0.333,12.2358
ff,150,0.333,1118.3097
hn,150,0.5334,21.8254
hw,150,0.94667,21.8254